match,state,bill,status,summary,action,year,keep
11%,MA,S2435,Intro,"Relative to job creation, workforce development and infrastructure investment (House, No. 4483) (being the text of Senate, No. 2423, printed as amended)",7/14/16,2016,1
36%,MA,S187,Intro,For legislation relative to the fair distribution and pricing of event tickets. Consumer Protection and Professional Licensure.,6/6/16,2016,0
18%,MA,H4335,Intro,To reform the issuance and sale of sports and entertainment tickets,5/26/16,2016,0
17%,MA,H237,Intro,Relative to the issuance and sale of sports and entertainment tickets. Consumer Protection and Professional Licensure.,5/26/16,2016,0
15%,MA,S2435,Intro,"Relative to job creation, workforce development and infrastructure investment (House, No. 4483) (being the text of Senate, No. 2423, printed as amended)",7/14/16,2016,0
39%,MA,S154,Intro,For legislation relative to the fair distribution and pricing of event tickets. Consumer Protection and Professional Licensure.,2/22/18,2018,1
20%,MA,S133,Intro,For legislation to reform the issuance and sale of sports and entertainment tickets. Consumer Protection and Professional Licensure.,6/14/18,2018,1
20%,MA,H1991,Intro,Relative to the issuance and sale of sports and entertainment tickets. Consumer Protection and Professional Licensure.,7/2/18,2018,1
25%,MA,S154,Intro,For legislation relative to the fair distribution and pricing of event tickets. Consumer Protection and Professional Licensure.,2/22/18,2018,0
13%,MA,S133,Intro,For legislation to reform the issuance and sale of sports and entertainment tickets. Consumer Protection and Professional Licensure.,6/14/18,2018,0
13%,MA,H1991,Intro,Relative to the issuance and sale of sports and entertainment tickets. Consumer Protection and Professional Licensure.,7/2/18,2018,0
39%,MA,S184,Intro,For legislation relative to the fair distribution and pricing of event tickets. Consumer Protection and Professional Licensure.,2/13/20,2020,1
19%,MA,H315,Intro,Relative to the issuance and sale of sports and entertainment tickets. Consumer Protection and Professional Licensure.,6/1/20,2020,1
19%,MA,S116,Intro,For legislation to reform the issuance and sale of sports and entertainment tickets. Consumer Protection and Professional Licensure.,12/29/20,2020,1
40%,MA,S184,Intro,For legislation relative to the fair distribution and pricing of event tickets. Consumer Protection and Professional Licensure.,2/13/20,2020,0
20%,MA,H315,Intro,Relative to the issuance and sale of sports and entertainment tickets. Consumer Protection and Professional Licensure.,6/1/20,2020,0
20%,MA,S116,Intro,For legislation to reform the issuance and sale of sports and entertainment tickets. Consumer Protection and Professional Licensure.,12/29/20,2020,0
40%,MA,S242,Intro,For legislation relative to the fair distribution and pricing of event tickets. Consumer Protection and Professional Licensure.,2/7/22,2022,1
20%,MA,S174,Intro,For legislation to modernize the issuance and sale of sports and entertainment tickets. Consumer Protection and Professional Licensure.,6/2/22,2022,1
40%,MA,S242,Intro,For legislation relative to the fair distribution and pricing of event tickets. Consumer Protection and Professional Licensure.,2/7/22,2022,0
20%,MA,S174,Intro,For legislation to modernize the issuance and sale of sports and entertainment tickets. Consumer Protection and Professional Licensure.,6/2/22,2022,0
20%,MA,H442,Intro,Relative to the issuance and sale of sports and entertainment tickets. Consumer Protection and Professional Licensure.,1/3/23,2023,1
20%,MA,H442,Intro,Relative to the issuance and sale of sports and entertainment tickets. Consumer Protection and Professional Licensure.,1/3/23,2023,0
26%,MA,S215,Intro,For legislation relative to the fair distribution and pricing of event tickets. Consumer Protection and Professional Licensure.,7/17/23,2023,1
13%,MA,S144,Intro,For legislation to modernize the issuance and sale of sports and entertainment tickets. Consumer Protection and Professional Licensure.,7/17/23,2023,1
13%,MA,H373,Intro,Relative to the issuance and sale of sports and entertainment tickets. Consumer Protection and Professional Licensure.,7/17/23,2023,1
19%,MD,SB881,Intro,"Requiring a ticket issuer, ticket seller, primary ticket sales platform, or secondary ticket exchange to maintain a specified toll-free number and implement a specified refund policy; requiring a refund of a ticket to include a specified amount and s...",3/9/16,2016,1
19%,MD,HB1266,Intro,"Requiring a ticket issuer, ticket seller, primary ticket sales platform, or secondary ticket exchange to maintain a specified toll-free number and implement a specified refund policy; requiring a refund of a ticket to include a specified amount and s...",3/17/16,2016,1
20%,MD,SB892,Intro,"Prohibiting a ticket issuer from using a nontransferable ticketing system under specified circumstances; prohibiting a purchaser or a seller of a ticket from being penalized, discriminated against, or denied access to an event under specified circums...",3/1/17,2017,1
20%,MD,HB1114,Intro,"Prohibiting a ticket issuer from using a nontransferable ticketing system except under specified circumstances; prohibiting a purchaser or a seller of a ticket from being penalized, discriminated against, or denied access to an event under specified ...",3/18/17,2017,1
